folder,num_geo_files,num_pdf_files,num_excel_files,list_geo_files,all_excel_files,all_pdf_files
MPN 3098,1,1,2,icw group premier mpn_geocode_20210928.xlsx,icw group premier mpn_geocode_20210928.xlsx;icw group premier mpn_providers+zipcodes_20210928 with 20220201 replacement.xlsx,icw group premier mpn_mpn plan application_20210928.pdf
MPN 3102,1,1,2,attachment c - geocode.xls,attachment b - providers + zip codes with 20220923 replacement.xlsx;attachment c - geocode.xls,pitman family farms mpn - plan & attachments with 20220923 replacement.pdf
MPN 3104,1,4,2,ex c1_3104 full geocoding results.pdf,exhibitb_3104_.xlsx;exhibitc_3104.xlsx,3104 wcf national insurance mpn application description.pdf;ex c1_3104 full geocoding results.pdf;mpn app desc l ancillary services.pdf;section g replacement page.pdf
MPN 3106,0,11,9,,1- worksheet 1.xls;2- worksheet 2.xls;3- worksheet 3.xls;4- worksheet- 4.xls;5 a- worksheet 5-a.xls;5 b- worksheet 5-b.xls;5 c- worksheet- 5-c.xls;complete provider list.xlsx;prism telehealth list.xlsx,01 e- prism- complete written employee notification- eng.pdf;01 e- prism- continuity of care policy- english.pdf;02 s- prism- complete written employee notification- spanish.pdf;02 s- prism- continuity of care policy- spanish.pdf;1 e- prism- transfer of care policy- english.pdf;1- access standards (with th language) .pdf;1- quality of care and performance.pdf;1- second and third opinion process.pdf;2 s- prism- transfer of care policy- spanish.pdf;2- prism medical provider network plan #3106.pdf;6- access not met policy.pdf
MPN 3108,1,1,2,tristar_mpn_geocode_20220707 (with 20220816 replacement).xlsx,tristar_mpn_geocode_20220707 (with 20220816 replacement).xlsx;tristar_mpn_providers plus zip_20220707 (with 20220816 replacement).xlsx,tristar premier mpn renewal plan-id#3108 (with 20220816 replacement).pdf
MPN 3111,1,1,2,attachment c - geocode (sfusd mpn).xlsx,attachment b - providers + zip codes (sfusd mpn) (with 20220225 replacement).xlsx;attachment c - geocode (sfusd mpn).xlsx,sfusd mpn - plan & attachments.pdf
MPN 3113,0,1,0,,,medex_reapproval plan_medex advantage-parking concepts mpn_(id#3113)_20220511.pdf
MPN 3114,0,1,0,,,medex_reapproval plan for medex advantage-food products of ca mpn_(id#3114)_20220511.pdf
MPN 3117,0,2,2,,ancillary.xlsx;provider.xlsx,firstgroup mpn -corrected pages final.pdf;firstgroup mpn #3117.pdf
MPN 3118,0,2,2,,ciga anthem mpn dwc access increased mileage.xlsx;ciga anthem mpn provider listing 042922 with 20220525 replacement.xlsx,application response j ancillary services information with 20220525 replacement.pdf;ciga anthem mpn 3118 reapproval application 2022.pdf
